iter	Passed	Remaining
881	1077	144
882	1079	143
883	1080	141
884	1081	140
885	1083	139
886	1084	138
887	1085	136
888	1086	135
889	1088	134
890	1089	133
891	1090	132
892	1092	130
893	1093	129
894	1094	128
895	1095	127
896	1096	125
897	1097	124
898	1098	123
899	1099	122
900	1100	120
901	1101	119
902	1102	118
903	1103	117
904	1104	115
905	1105	114
906	1106	113
907	1107	112
908	1108	110
909	1109	109
910	1110	108
911	1111	107
912	1112	106
913	1113	104
914	1114	103
915	1115	102
916	1116	101
917	1117	99
918	1118	98
919	1119	97
920	1120	96
921	1121	94
922	1122	93
923	1123	92
924	1124	91
925	1125	89
926	1126	88
927	1127	87
928	1128	86
929	1129	84
930	1130	83
931	1131	82
932	1132	81
933	1133	80
934	1134	78
935	1135	77
936	1136	76
937	1137	75
938	1138	73
939	1139	72
940	1140	71
941	1141	70
942	1142	69
943	1144	67
944	1145	66
945	1145	65
946	1147	64
947	1147	62
948	1148	61
949	1149	60
950	1150	59
951	1151	58
952	1152	56
953	1153	55
954	1154	54
955	1155	53
956	1156	51
957	1157	50
958	1158	49
959	1159	48
960	1160	47
961	1161	45
962	1162	44
963	1163	43
964	1164	42
965	1165	41
966	1166	39
967	1167	38
968	1168	37
969	1169	36
970	1170	34
971	1171	33
972	1172	32
973	1173	31
974	1174	30
975	1175	28
976	1176	27
977	1177	26
978	1178	25
979	1179	24
980	1180	22
981	1181	21
982	1182	20
983	1183	19
984	1184	18
985	1185	16
986	1186	15
987	1187	14
988	1188	13
989	1189	12
990	1190	10
991	1191	9
992	1192	8
993	1193	7
994	1194	6
995	1195	4
996	1197	3
997	1198	2
998	1199	1
999	1200	0
